Rank,Match,NumPth,Type,LngstCntig,LenP0,LenP1,CovC0P0,CovC0P1,CovC1P0,CovC1P1,PcC0P0,PcC0P1,PcC1P0,PcC1P1,C0Dif,C1Dif,QTotal
1,19769,2,S_1_1,217,31,31,6.84,7.97,0.06,0.00,46.19,53.81,100.00,0.00,3.81,0.00,663
2,60706,2,S_1_1,427,31,31,10.48,8.84,0.00,0.13,54.26,45.74,0.00,100.00,4.26,0.00,632
3,29,2,S_1_1,211,31,31,6.68,9.81,0.45,0.00,40.51,59.49,100.00,0.00,9.49,0.00,630
4,58074,2,S_1_1,426,31,31,6.81,6.97,4.32,0.00,49.41,50.59,100.00,0.00,0.59,0.00,600
5,22418,2,S_1_1,370,31,31,8.45,7.97,0.00,0.45,51.47,48.53,0.00,100.00,1.47,0.00,594
6,35633,2,S_1_1,231,31,31,6.74,5.55,0.00,0.87,54.86,45.14,0.00,100.00,4.86,0.00,560
7,48097,2,S_1_1,228,31,31,7.55,7.32,0.00,1.52,50.76,49.24,0.00,100.00,0.76,0.00,551
8,41942,2,S_1_1,302,31,31,8.42,10.94,0.06,2.35,43.50,56.50,2.67,97.33,6.50,2.67,525
9,59886,2,S_1_1,265,31,31,7.00,6.29,0.00,3.81,52.67,47.33,0.00,100.00,2.67,0.00,505
10,44477,2,S_1_1,235,31,31,4.19,6.26,0.00,0.13,40.12,59.88,0.00,100.00,9.88,0.00,495
11,8147,2,S_1_1,225,31,31,6.55,9.61,2.19,0.00,40.52,59.48,100.00,0.00,9.48,0.00,493
12,30468,2,S_1_1,210,31,31,6.13,7.16,0.00,0.00,46.12,53.88,0.00,0.00,3.88,0.00,486
13,30283,2,S_1_1,278,31,31,8.45,11.13,0.00,1.81,43.16,56.84,0.00,100.00,6.84,0.00,480
14,38514,2,S_1_1,204,31,31,3.58,5.10,0.00,3.00,41.26,58.74,0.00,100.00,8.74,0.00,470
15,51559,2,S_1_1,233,31,31,7.26,6.94,0.00,1.94,51.14,48.86,0.00,100.00,1.14,0.00,463
